dim_1,dim_2
1.09288221449454,-0.731664296876706
1.08673329729299,-0.422586090138099
1.11817015227064,0.399435879392008
1.05566776338754,0.842269432694862
0.262365465026319,-0.774886155234329
0.303456554527303,-0.434049229098316
0.261609037080727,0.374541707082444
0.210889701271953,0.785227128227499
-0.382330556078338,-0.789161697367977
-0.403098210665756,-0.478209781226608
-0.404608787902594,0.371214701753431
-0.367821644922827,0.792886981550632
-0.952950105441265,-0.746805185547264
-0.965575451277324,-0.399681526941134
-0.96891514788803,0.405946408125397
-0.946474281175875,0.80552172360416
