Block1,Block2,Block3
90.625,84.375,75
56.25,78.125,56.25
78.125,78.125,78.125
46.875,56.25,68.75
62.5,65.625,56.25
62.5,75,78.125
78.125,81.25,81.25
59.375,59.375,56.25
78.125,84.375,81.25
84.375,68.75,90.625
75,50,62.5
62.5,65.625,75
84.375,71.875,75
68.75,68.75,78.125
81.25,65.625,84.375
87.5,87.5,87.5
59.375,71.875,59.375
71.875,68.75,71.875
75,75,56.25
71.875,78.125,71.875
71.875,59.375,75
62.5,71.875,68.75
81.25,71.875,87.5
68.75,65.625,50
78.125,78.125,59.375
81.25,84.375,78.125
65.625,71.875,87.5
62.5,62.5,62.5
75,84.375,81.25
71.875,90.625,78.125
65.625,71.875,62.5
65.625,65.625,71.875
62.5,84.375,78.125
68.75,93.75,65.625
78.125,65.625,65.625
68.75,78.125,62.5
84.375,59.375,65.625
59.375,62.5,81.25
75,71.875,84.375
68.75,68.75,78.125
65.625,53.125,46.875
